,doc,soc,co2,mic,enz
0,0.00144928,111.876,1.0,2.19159,0.0109579
8760,-0.0044866585425582025,111.87621915899562,0.004016917094143904,0.0007505824027962308,5.00000000018037e-11
17520,0.000505701517244133,111.87621923372497,-4.332120144292337e-06,-1.4478793058034058e-06,3.752862013981153e-09
26280,0.0005000010638278019,111.87621923358114,-9.284861884444985e-10,1.9475227375107752e-11,-1.0992258542998183e-11
35040,0.0004999999999758903,111.87621923358114,1.2348362172899337e-14,-3.039497940180675e-16,1.1089634679873722e-14
43800,0.0005000000000000103,111.87621923358114,-1.9272042847863333e-19,4.743865500865316e-21,-1.1091154428843812e-17
52560,0.0005,111.87621923358114,3.0078644894935043e-24,-7.403939834816146e-26,1.1091178148171317e-20
61320,0.0005,111.87621923358114,-4.694493911648043e-29,1.1555623798269977e-30,-1.1091178518368309e-23
70080,0.0005,111.87621923358114,7.326883629061895e-34,-1.8035322321127302e-35,1.1091178524146121e-26
78840,0.0005,111.87621923358114,-1.1435359108809482e-38,2.8148445891397953e-40,-1.1091178524236297e-29
87600,0.0005,111.87621923358114,1.7847620430157568e-43,-4.3932400652068435e-45,1.1091178524237704e-32
96360,0.0005,111.87621923358114,-2.785549207401672e-48,6.8567047520150365e-50,-1.1091178524237725e-35
105120,0.0005,111.87621923358114,4.347517596096471e-53,-1.0701532208231832e-54,1.1091178524237725e-38
113880,0.0005,111.87621923358114,-6.785343873353787e-58,1.67023075581849e-59,-1.1091178524237726e-41
122640,0.0005,111.87621923358114,1.0590156442609606e-62,-2.6067956657048966e-64,1.1091178524237726e-44
131400,0.0005,111.87621923358114,-1.6528478964694384e-67,4.068529823837299e-69,-1.1091178524237727e-47
140160,0.0005,111.87621923358114,2.5796655447615437e-72,-6.349916545138017e-74,1.1091178524237728e-50
148920,0.0005,111.87621923358114,-4.026186763491418e-77,9.910567668442866e-79,-1.1091178524237728e-53
157680,0.0005,111.87621923358114,6.283830044336967e-82,-1.5467817696909633e-83,1.109117852423773e-56
166440,0.0005,111.87621923358114,-9.807423834424942e-87,2.4141239160967416e-88,-1.109117852423773e-59
175200,0.0005,111.87621923358114,1.5306837006950784e-91,-3.767819350130219e-93,1.1091178524237728e-62
183960,0.0005,111.87621923358114,-2.38899901863063e-96,5.880585731559766e-98,-1.1091178524237729e-65
192720,0.0005,111.87621923358114,3.728605921933076e-101,-9.178064374298935e-103,1.1091178524237728e-68
201480,0.0005,111.87621923358114,-5.819383772306152e-106,1.4324570630217174e-107,-1.1091178524237728e-71
210240,0.0005,111.87621923358114,9.082544038824805e-111,-2.23569279285813e-112,1.1091178524237728e-74
219000,0.0005,111.87621923358114,-1.4175488238078755e-115,3.489334789200586e-117,-1.1091178524237727e-77
227760,0.0005,111.87621923358114,2.212424910123628e-120,-5.445943785308851e-122,1.1091178524237727e-80
236520,0.0005,111.87621923358114,-3.453019677859761e-125,8.499701377046377e-127,-1.1091178524237727e-83
245280,0.0005,111.87621923358114,5.389265344612508e-130,-1.326582248128494e-131,1.1091178524237728e-86
254040,0.0005,111.87621923358114,-8.411241077155828e-135,2.070449752272569e-136,-1.1091178524237728e-89
